group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.4617180942031174,0.05785245530663046,0.4950832333114732,0.09864332692380681,0.3394433129667346
easy,598,0.707001107171888,0.02915273132664437,0.8745819397993311,0.0564246412773762,0.8745819397993311
medium,558,0.40566061656870106,0.05197132616487454,0.578853046594982,0.0951653633105246,0.47491039426523296
hard,1790,0.3972492845744465,0.06927374301675977,0.34218726555061457,0.11383186195887773,0.11843575418994413
multi-table,580,0.5298290721731158,0.10666666666666666,0.7675998517513943,0.1830153593275599,0.6172413793103448
multi-table + multi text,586,0.4351253897647315,0.0841296928327645,0.3842634541226691,0.1362418832201552,0.06313993174061433
multi-text,583,0.37006247755699573,0.0440251572327044,0.29585477415666095,0.07514132657487463,0.1183533447684391
single table+multi text,599,0.266116992913733,0.026989426822481916,0.15466706823134202,0.04518741279385024,0.021702838063439065
single-table,598,0.707001107171888,0.02915273132664437,0.8745819397993311,0.0564246412773762,0.8745819397993311
